alpha0,theta0,theta1
-2.308066820952795,0.7303169670949048,0.0836145139297679
-2.4363142726262472,0.7391190546367751,0.0824410741651779
-2.343518881407876,0.7487972914777677,0.0725205747220838
-2.2725555395393613,0.7487972914777677,0.0725205747220838
-2.3323552857591285,0.7487972914777677,0.0725205747220838
-2.246229871212246,0.7592265363659999,0.064579543959938
-2.2622867885253144,0.7592265363659999,0.064579543959938
-2.3517692857428947,0.7814094873421339,0.0610394836000723
-2.192006192148781,0.7855317923531023,0.0587660022144529
-2.30333421576018,0.8215699071258389,0.072669441972643
-2.362997258638841,0.8215699071258389,0.072669441972643
-2.422283405489444,0.8307095681210311,0.066074303655568
-2.2912292778088825,0.8307095681210311,0.066074303655568
-2.4249194666563496,0.8080277493598366,0.0717427718056238
-2.1845863272476715,0.8080277493598366,0.0717427718056238
-2.2009935649696453,0.7918202039748102,0.0798071473156505
-2.255428598013239,0.7918202039748102,0.0798071473156505
-2.34757975722365,0.7811089834135877,0.0825997678817903
-2.3454884889786896,0.7894261406913511,0.0620905717708338
-2.3177497944809806,0.7839679526601835,0.0556136497309661
-2.4054507734270576,0.8065803179252147,0.0387796497739406
-2.2818016721274166,0.8344483831463049,0.0447371406388379
-2.372253208166151,0.8344483831463049,0.0447371406388379
-2.222383522015762,0.8344454873473905,0.048260697842062
-2.384941094769663,0.8344454873473905,0.048260697842062
-2.3736619179290805,0.8396373891525163,0.0431452851583568
-2.2126992081867582,0.8430835666452633,0.0343927385150321
-2.267933080797506,0.8430835666452633,0.0343927385150321
-2.4042316022936654,0.8659756302463875,0.0362880220316283
-2.345438324423394,0.8623333567137419,0.0282289224312937
-2.359231545843224,0.8675933870173016,0.0147999090843474
-2.3876784775865008,0.8822429950738353,0.0157150488634832
-2.3120708257818343,0.8859667624860303,0.0310321286043186
-2.2689467817181046,0.8859667624860303,0.0310321286043186
-2.30649295718677,0.8859667624860303,0.0310321286043186
-2.2340557777118897,0.9030117442269178,0.0137857608792259
-2.344796488613768,0.8948087248458774,0.0164382907163372
-2.222439939998481,0.8948087248458774,0.0164382907163372
-2.4135444000459363,0.8981726729266702,0.018418992481983
-2.3105541979250943,0.9103153489584714,0.0216359326805824
-2.368827254554741,0.8867620831733236,0.0238300801675765
-2.358925032149933,0.8867620831733236,0.0238300801675765
-2.3075698911626965,0.883983320151669,0.0221128120356162
-2.3801432316920623,0.8633900333833979,0.0120828236673645
-2.2415267517571373,0.8461836578660648,0.0083551904934709
-2.239486731064736,0.8675691564926962,0.0187033509940006
-2.3154474272060668,0.8675691564926962,0.0187033509940006
-2.3168016272856136,0.8675691564926962,0.0187033509940006
-2.2912890942721105,0.8544284788954033,0.0211579137477035
-2.2380463639414314,0.8482953325488126,0.02597069716607
-2.224834910248102,0.8482953325488126,0.02597069716607
-2.3785352203739563,0.8604481444543169,0.0211974257041415
-2.30909023415008,0.8604481444543169,0.0211974257041415
-2.288169720221592,0.8604481444543169,0.0211974257041415
-2.153663688108021,0.8495593646658894,0.0286707533953952
-2.3692411435329697,0.8495593646658894,0.0286707533953952
-2.3051391606131824,0.8434130378053177,0.0315325521691762
-2.299681846300106,0.8434130378053177,0.0315325521691762
-2.197348268341649,0.8669594388625719,0.028325539986807
-2.2645616543875406,0.8669594388625719,0.028325539986807
-2.351407610161433,0.8669594388625719,0.028325539986807
-2.308849695031944,0.8669594388625719,0.028325539986807
-2.3779952587281685,0.8669594388625719,0.028325539986807
-2.291574080549465,0.845861389325177,0.0490167046158744
-2.284592360796389,0.8936946789290672,0.0516544196074374
-2.425256363020297,0.9067979131748712,0.0497001143138177
-2.3794938164517307,0.9067979131748712,0.0497001143138177
-2.3998174373339074,0.9067979131748712,0.0497001143138177
-2.2271671633445376,0.9223629940817908,0.046543010546204
-2.38448878540156,0.9223629940817908,0.046543010546204
-2.5085995708354734,0.901775629216904,0.0535841526219681
-2.384257901951196,0.9184530942015436,0.0569646256696661
-2.4114054817607755,0.92885614245559,0.0759395140309932
-2.3986274155493126,0.92885614245559,0.0759395140309932
-2.4956852996810706,0.9724629081782028,0.0750698718422406
-2.4301244036506167,0.9644573181040248,0.0727201407315305
-2.4019460919786457,0.9644573181040248,0.0727201407315305
-2.3705353439665906,0.9644573181040248,0.0727201407315305
-2.506584061036921,0.96779412252764,0.0793711456051991
-2.483055239247566,0.9927205595986708,0.0805049156559476
-2.330406767314991,0.9871420817440204,0.0801353775932656
-2.445854293851732,0.97788052492876,0.07950235123195
-2.396712009382804,0.9835854855362872,0.072124828362637
-2.2943849254764888,0.9835854855362872,0.072124828362637
-2.261644974449803,0.9835854855362872,0.072124828362637
-2.419211813621433,0.977375989238428,0.061844360467717
-2.108628995179968,0.977375989238428,0.061844360467717
-2.510195917800681,0.9629169869291222,0.0714130291922867
-2.329883372542388,0.9601075441375688,0.0812321258158114
-2.39774488857314,0.9416670414794795,0.0891727783779133
-2.389563387465373,0.9148634413700724,0.0928148745532181
