alpha0,theta0,theta1
-1.6611459171330654,0.0360648756966822,0.1038534571993887
-1.732798185847283,0.0360648756966822,0.1038534571993887
-1.7910693719059445,0.0360648756966822,0.1038534571993887
-1.859885791408864,0.0514657281940533,0.1073917575050288
-1.7067724387484733,0.0514291590351432,0.0968277095737732
-1.869898139864756,0.0537764410858183,0.0850858718154085
-1.925490650978649,0.0537764410858183,0.0850858718154085
-1.7255461329103876,0.0386542808283159,0.1206583180802246
-1.8399509536748304,0.0386542808283159,0.1206583180802246
-1.6756994133512233,0.0416819113809791,0.1350317565062788
-1.6955641282294172,0.0361690788102833,0.1096103391491687
-1.5097076582566158,0.034539551618608,0.1322942786271664
-1.5231698875865027,0.034539551618608,0.1322942786271664
-1.649822141386771,0.034539551618608,0.1322942786271664
-1.597296506450039,0.0256099897576846,0.1321855122051641
-1.5466269834233928,0.0256099897576846,0.1321855122051641
-1.8051891954313268,0.0256099897576846,0.1321855122051641
-1.9013946810249405,0.0256099897576846,0.1321855122051641
-1.585720906428407,0.0256099897576846,0.1321855122051641
-1.8015005742618468,0.0256099897576846,0.1321855122051641
-1.8242636268187995,0.0256099897576846,0.1321855122051641
-1.5740072970823766,0.0256099897576846,0.1321855122051641
-1.700632395071716,0.0361187634362068,0.1432505930497737
-1.80362585502498,0.0361187634362068,0.1432505930497737
-1.6629564985709695,0.045907038616886,0.1231347261506662
-1.7257237927975366,0.045907038616886,0.1231347261506662
-2.0749107554326582,0.0538754835833827,0.1063224033031596
-1.7787167579906746,0.0576983708200721,0.0892742712522376
-1.6908261029425815,0.0702973591810723,0.0980317137550632
-1.4660821848744106,0.0767700644919441,0.1038512546227913
-1.662547317847696,0.0634460735908368,0.1166523203370872
-1.8165162078215893,0.0317871925777791,0.1158153571192655
-1.8510099003096536,0.0475482356603336,0.1240772582617412
-1.6758848459041438,0.0562525268394167,0.1099706639998102
-1.6541710204288242,0.0562525268394167,0.1099706639998102
-1.8156862245604668,0.0562525268394167,0.1099706639998102
-1.6762523479005036,0.0381415699503156,0.092346562611323
-1.578758826099214,0.0412426398325629,0.0968432176886862
-1.6373398088509867,0.0256432909331897,0.0739444391872576
-1.728395796549118,0.0275807360346724,0.0786139653083395
-1.8912808119170184,-0.0138100115409968,0.0959816982838967
-1.7099964235564782,-0.0162493661513224,0.0853080265271783
-1.4746650737690292,-0.0201717700772577,0.0815378664093662
-1.8009987632678328,-0.0511815127206021,0.0511985763310265
-1.6570245776960983,-0.0693529412054799,0.0456685221271738
-1.474139507516674,-0.0693529412054799,0.0456685221271738
-1.5616127136830116,-0.0919231773328471,0.0484553912416773
-1.6970946595922136,-0.0919231773328471,0.0484553912416773
-1.5726793029757482,-0.0919231773328471,0.0484553912416773
-1.4611411761296726,-0.1043019857233815,0.0601166351844897
-1.426481081787475,-0.1141500965711273,0.0517967782758421
-1.536155737242514,-0.1141500965711273,0.0517967782758421
-1.4848090493905388,-0.1040964898160315,0.0840158022329149
