alpha0,theta0,theta1
-1.205495250391871,-0.1658090047890627,0.0806772999304763
-1.0581710629517689,-0.1658090047890627,0.0806772999304763
-1.1638535049085683,-0.1972292987411861,0.0828265524269786
-1.1205341413107095,-0.1889894170883885,0.0821598889216995
-1.2735841331615625,-0.1889894170883885,0.0821598889216995
-1.2891238866350816,-0.1889894170883885,0.0821598889216995
-1.1946330750452252,-0.1910186709397861,0.07987320189211
-1.170316602762007,-0.1910186709397861,0.07987320189211
-1.061681584854718,-0.195957426396154,0.0946062606389124
-1.2269878681959885,-0.195957426396154,0.0946062606389124
-0.9888975535334388,-0.1909047865757619,0.1302308120949988
-1.191776131937306,-0.1909047865757619,0.1302308120949988
-1.131526795556657,-0.1909047865757619,0.1302308120949988
-1.2943244959868525,-0.192468234051721,0.1442736778227075
-1.0149089256113109,-0.192468234051721,0.1442736778227075
-1.0923712236583782,-0.192468234051721,0.1442736778227075
-1.0649725888616854,-0.192468234051721,0.1442736778227075
-0.96712729983192,-0.192468234051721,0.1442736778227075
-1.121529466894989,-0.1917311437718687,0.1345184969450406
-1.1880780698689637,-0.1917311437718687,0.1345184969450406
-0.937813416598224,-0.1917311437718687,0.1345184969450406
-1.270899532079969,-0.1917311437718687,0.1345184969450406
-1.2910576574070831,-0.1917311437718687,0.1345184969450406
-1.102603431670398,-0.1917311437718687,0.1345184969450406
-1.2136704723575358,-0.2128148088544815,0.114251165834287
-1.1364946935563258,-0.1987702228750325,0.1140673557292767
-1.1753090875867178,-0.1987702228750325,0.1140673557292767
-1.1783673861025303,-0.1987702228750325,0.1140673557292767
-1.2838471725888188,-0.1987702228750325,0.1140673557292767
-1.3224851093121883,-0.1765977346498609,0.0941894809381785
-1.248482332789917,-0.1778880497540637,0.0929136981209242
-1.2621598912683547,-0.1778880497540637,0.0929136981209242
-0.9681823280583758,-0.2031304828484623,0.1099765141198121
-0.986736314877785,-0.189074243468616,0.1196824596375777
-1.2985809623236224,-0.1713177832141831,0.1249523921951415
-1.2939684692841025,-0.1713177832141831,0.1249523921951415
-1.2983522791570905,-0.1713177832141831,0.1249523921951415
-1.3862340293081026,-0.1739928685659157,0.1058862679633745
-1.359213201516569,-0.1820001016505669,0.1193264847614869
-1.4313904837972111,-0.1820001016505669,0.1193264847614869
-1.3474386621517966,-0.103017750194839,0.1592990538403064
-1.600819439805527,-0.1018726680259042,0.1235994716761653
-1.3775620369226254,-0.1018726680259042,0.1235994716761653
-1.3647076783899332,-0.1018726680259042,0.1235994716761653
-1.531638010773758,-0.1212859233980952,0.0809308815216528
-1.4743018485590524,-0.0874960889831368,0.0745588324199238
-1.5312636170576723,-0.0874960889831368,0.0745588324199238
-1.582201073228346,-0.0874960889831368,0.0745588324199238
-1.2481400652292227,-0.0874960889831368,0.0745588324199238
-1.3843973823947728,-0.0874960889831368,0.0745588324199238
-1.4280478294948828,-0.0874960889831368,0.0745588324199238
-1.5350613393538817,-0.1075411038632342,0.1051808722168135
-1.4463852376888255,-0.0967487851130796,0.1023499984462551
-1.3730473337112106,-0.1189118128909494,0.0751456722831227
-1.4134242344126586,-0.1189118128909494,0.0751456722831227
-1.7182066258332975,-0.1464102911803911,0.0850583996795331
-1.3570853173846176,-0.1464102911803911,0.0850583996795331
-1.4174081709948678,-0.1464102911803911,0.0850583996795331
-1.432605201776355,-0.1464102911803911,0.0850583996795331
-1.4760299512542163,-0.1424226364167049,0.0985378950319556
-1.6379938194903825,-0.1251293226054573,0.0915312941344927
-1.3457481804135505,-0.1376804929810917,0.0831833864057255
-1.4458462861154726,-0.1376804929810917,0.0831833864057255
-1.1583080602399871,-0.1376804929810917,0.0831833864057255
-1.3475918792821258,-0.1323715317343078,0.0946325130287197
-1.2396292753017444,-0.1252563207442101,0.0994282011162341
-1.4016225241964329,-0.1252563207442101,0.0994282011162341
-1.3738497126206757,-0.1344222695184403,0.125133334204514
-1.3802668851396365,-0.1272622782061759,0.1451781399041462
-1.4432310386560638,-0.1272622782061759,0.1451781399041462
-1.308070937924272,-0.1272622782061759,0.1451781399041462
-1.3607367125655847,-0.0992159205957429,0.1422434509587421
-1.5331441840689033,-0.0992159205957429,0.1422434509587421
-1.171837033281692,-0.1450975201961932,0.1069523966391891
-1.2720348174191136,-0.1450975201961932,0.1069523966391891
-1.1795400862036345,-0.1628238452574964,0.1253475698757896
-1.3171021312451094,-0.1628238452574964,0.1253475698757896
-1.2720648731807218,-0.2026010273262419,0.1229574006095237
-1.134205857400027,-0.2026010273262419,0.1229574006095237
-1.0237238226762977,-0.2026010273262419,0.1229574006095237
-1.3604189479206694,-0.2026010273262419,0.1229574006095237
-1.266481514272478,-0.2026010273262419,0.1229574006095237
-1.2979760596806058,-0.2026010273262419,0.1229574006095237
-1.121638589955127,-0.1792263133735162,0.1348607329543773
-1.0427294141090824,-0.1747560934851087,0.1457347374336996
-1.304037250066003,-0.1766110010095656,0.1444679780508951
-1.1081402797267617,-0.1766110010095656,0.1444679780508951
-1.403289467476791,-0.2010462505995341,0.1358109067532678
-1.4143319064991595,-0.2010462505995341,0.1358109067532678
-1.079459729462848,-0.2010462505995341,0.1358109067532678
-1.0060290474173066,-0.2584022936628267,0.1116089107188333
-0.9268826152134488,-0.2584022936628267,0.1116089107188333
-0.8954885852925565,-0.2584022936628267,0.1116089107188333
-1.1457589006373547,-0.2584022936628267,0.1116089107188333
-1.0011157846882603,-0.2577732147133802,0.0825965033584505
-1.1440426390542529,-0.2577732147133802,0.0825965033584505
-1.389544860466895,-0.2236633941264516,0.0921498739495536
-1.2177896398139894,-0.2216344925374508,0.0897994785451593
-1.3099079376264509,-0.2216344925374508,0.0897994785451593
-1.3148677604911134,-0.2216344925374508,0.0897994785451593
-1.2152300792641737,-0.2216344925374508,0.0897994785451593
-1.074211543148929,-0.2216344925374508,0.0897994785451593
-1.1972784267506422,-0.2185484091542452,0.0814737617186546
-1.3013448187290926,-0.2185484091542452,0.0814737617186546
-1.2301463762940728,-0.2185484091542452,0.0814737617186546
-1.04250937799101,-0.2185484091542452,0.0814737617186546
-1.0480979116841074,-0.2530069282143018,0.0767864330106571
-1.2046751149571884,-0.2530069282143018,0.0767864330106571
-1.1556729495335554,-0.2578666717241037,0.0886626654577296
-1.232875018967164,-0.2515304024125502,0.116271720424438
-1.0344758367067497,-0.2515304024125502,0.116271720424438
-0.9870434571239364,-0.2547295175079919,0.1085059446687257
-1.0462382481369004,-0.2383751422473683,0.1087076140742816
-0.9392629815424852,-0.2383751422473683,0.1087076140742816
-1.2069079957869298,-0.1995924189874303,0.1278409167026566
-1.233640792724446,-0.1995924189874303,0.1278409167026566
-1.1855329927229286,-0.2199463656489753,0.1422727129591112
-1.0593697486044005,-0.2199463656489753,0.1422727129591112
-0.6478319457000575,-0.2808177646310797,0.1389699537360485
-0.7712345256234745,-0.2808177646310797,0.1389699537360485
-0.9483649946425744,-0.2736959212188232,0.1229169758505703
-1.0575464644712105,-0.2732709641436701,0.1148972441834688
-1.0778987467683303,-0.2797523949219977,0.0711915481401496
-0.963334279251706,-0.2797523949219977,0.0711915481401496
-1.180537398440422,-0.2797523949219977,0.0711915481401496
-1.215119636634045,-0.2673120711838654,0.0886343019210654
-1.2651504300135716,-0.2673120711838654,0.0886343019210654
-1.2302570729989977,-0.2809834631945622,0.0973457183013494
-1.257625170685457,-0.2809834631945622,0.0973457183013494
-1.1444312575442412,-0.2839737968080303,0.0965082759832645
-1.1674489565921955,-0.2839737968080303,0.0965082759832645
-1.0011614677141671,-0.2839737968080303,0.0965082759832645
-1.176880448764034,-0.2839737968080303,0.0965082759832645
-1.2054020861367314,-0.2839737968080303,0.0965082759832645
-0.9042415885051744,-0.2736926966293633,0.1296759309883215
-1.002210231810068,-0.2736926966293633,0.1296759309883215
-0.9625504494837264,-0.2826548877872691,0.1149475818080112
-0.9998212175131586,-0.2826548877872691,0.1149475818080112
-0.9459678242462364,-0.3180012437393383,0.1073326684578587
-1.0306102553994974,-0.3180012437393383,0.1073326684578587
-0.8904932897868614,-0.316870597172681,0.1269381875691814
-0.8492537727429179,-0.316870597172681,0.1269381875691814
-0.8127660124629398,-0.316870597172681,0.1269381875691814
-0.8815813317470268,-0.3416409620601861,0.1227045256889373
-0.9131829326238916,-0.3279645346683307,0.0858643953795802
-0.7348702846205863,-0.3279645346683307,0.0858643953795802
-0.738336089675958,-0.3279645346683307,0.0858643953795802
-0.7718971452673135,-0.3279645346683307,0.0858643953795802
-1.1026303779915363,-0.3279645346683307,0.0858643953795802
