geohash,target_area,population,households,households_owneroccupied,households_renteroccupied,income_median,age_median,income_poverty,education_bachelors,education_nohighschool,race_hispanic,race_white_nh,race_black_nh,race_asian_nh,race_other_nh,area_m2,population_density,area_m2_land,population_density_land,income_poverty_pct,education_nohighschool_pct,education_bachelors_pct,race_hispanic_pct,race_white_nh_pct,race_black_nh_pct,race_asian_nh_pct,race_other_nh_pct,households_owneroccupied_pct,households_renteroccupied_pct
dr5rsq,6094016.531758805,24404.698798689118,11894.711073428634,2039.3605380569684,9855.350535371668,105133.66881757192,30.43181862634562,831.9753742508979,3508.4800458570503,389.65017726082567,766.9066791945811,4151.749400181009,231.7449552476062,897.8753699848248,59.52221705311391,566147.9498103684,0.04310657453915269,566147.9498103684,0.04310657453915269,0.03409078641427801,0.015966194890377237,0.14376248093852753,0.031424550063931744,0.17012090312722963,0.009495915403801429,0.03679108590486081,0.0024389654444869078,0.17145103613425774,0.8285489638657425
dr5qf5,6107448.713103134,1453.2160352178862,455.63400397861625,346.4234337186637,109.21057025995259,97747.13348353397,42.04077314475713,539.9888455712284,1457.9728804537601,833.730165860696,697.374268161256,3741.5125487323685,89.33041697185882,1132.3057027699674,68.25348575899116,567395.8299055309,0.0025612032352437994,567395.8299055308,0.0025612032352438,0.371581948234053,0.57371384959683,1.0032733228374822,0.47988341117960215,2.5746430386528107,0.06147084453170459,0.7791723152849718,0.046967198341406724,0.7603107553292313,0.2396892446707688
dr5qym,6106467.969956374,1.3662397399754844,0.8380654549264805,0.0,0.8380654549264805,1.0,23.973539340110563,0.0,25.76323032994472,0.0,2.981786948457286,11.890721690743716,4.954467371143215,0.0,0.0,567304.7166440333,2.4082996313826856e-06,567304.7166440333,2.4082996313826856e-06,0.0,0.0,18.857034805917014,2.18247710208663,8.70324683350016,3.626352847291733,0.0,0.0,0.0,1.0
dr5rux,6089514.460676689,19273.502093195268,10145.412604395186,3646.599022048885,6498.8135823463,138149.63799363413,39.97694358055745,496.4467004420042,5747.59485289687,73.3756729443873,712.969442423959,6940.377324774016,200.65913319149743,778.2128642594973,120.67608845442858,565729.6972014761,0.03406839377274427,565729.6972014761,0.03406839377274427,0.025757991362518412,0.003807075257500474,0.29821227222249996,0.036992210288325396,0.36009944073549544,0.010411140239133938,0.04037734608357733,0.006261243435204994,0.35943328913691586,0.6405667108630841
dr5xf4,6091982.901196723,2379.64043008364,855.5343820434397,642.7686450457027,212.76573699773695,71377.49426730562,45.607914961624424,743.5091393547203,2022.679066068394,366.7598906599648,632.5896192166158,1898.7781693694058,199.86697543488356,3461.698675023486,50.96674385872089,565959.0209212861,0.004204616133178663,565959.0209212861,0.004204616133178663,0.3124460023267412,0.15412407942954387,0.8499935706661786,0.2658341198188423,0.7979265040906485,0.08399041002503838,1.4547150196560636,0.021417834061984525,0.7513066202090591,0.24869337979094075
dr5q8j,6110433.853437101,3214.5512394253,1175.1144755907626,952.6265335957679,222.48794199499451,102048.60631727299,44.16927317324901,423.6522693893248,1121.009048170219,223.5199279932915,482.6174064341808,3486.1878203587653,26.921695215464364,396.8192438914512,22.810859407997548,567673.1562093182,0.005662679667452865,567673.1562093182,0.005662679667452865,0.13179204120108087,0.06953378911864928,0.34872956275247735,0.15013523521263375,1.0845021779718242,0.008374946675380246,0.12344467838142,0.007096125620344969,0.8106670059671047,0.1893329940328951
dr5x3k,6098985.384282692,7483.1184240734565,3270.9722527803942,931.99386937135,2338.9783834090445,57777.66705163688,46.01089065503494,293.1225029993442,877.7639903558347,364.247570319454,288.90000008025464,31.233878100601945,3728.426539357939,67.59293130214347,74.38557842633688,566609.5674733085,0.013206833865236429,566609.5674733085,0.013206833865236429,0.039171169877033986,0.04867590617671594,0.11729922481676047,0.038606899384466924,0.004173912041819551,0.4982450267476002,0.009032722385455591,0.009940451855878139,0.28492869928173065,0.7150713007182694
dr5qzq,6105967.292085715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567258.2025349048,0.0,305256.8417238938,0.0,,,,,,,,,0.0,0.0
dr72n7,6087527.157473707,17.92282472239926,1.0,0.0,0.0,1.0,33.11328325560937,0.0,89.11192343675911,2152.9678389477695,1076.9233782095598,220.9853656657405,1845.338936089332,51.29827766906734,10.459617389246008,565545.0722290698,3.169124019020672e-05,65081.66687255096,0.00027538976156676225,0.0,120.12435942963124,4.971979853454152,60.08669921676254,12.329829091591877,102.96027354343862,2.8621759384254157,0.5835920147215399,0.0,0.0
dr5r7y,6097988.669791287,1174.7873574873868,460.0656600497441,192.13005060822337,267.9356094415208,135785.70568566685,37.4000010577381,99.25340565077785,1355.2885203490546,52.42911045225708,398.2088937955432,1524.193031408761,131.33218630588962,166.01542294587654,24.603714773758366,566516.9704376892,0.0020737019697393173,294933.42581272626,0.003983228941413175,0.08448627321208085,0.044628596075796625,1.1536458165907746,0.33896252905481117,1.2974203558579969,0.11179230476805645,0.14131529581740412,0.020943121848349077,0.41761441309801195,0.5823855869019882
dr72y0,6077098.111830473,246.60444838700596,6.414735140247469,3.061271640160145,3.3534635000873245,6925.958933614864,23.33258272255549,51.28134009118347,130.08265802216826,39.52711790555809,177.0825208687268,380.25895892128955,84.92242204636631,25.921598227184106,27.237676775994235,564576.190248093,0.0004367956932059781,96276.9983948449,0.0025614056576177004,0.20794977716989788,0.16028550240718548,0.527495180533096,0.7180832382667497,1.54197931711489,0.3443669512120651,0.10511407396230069,0.11045087367300482,0.47722494744218646,0.5227750525578136
