geohash,area_m2,population,households,income_poverty,education_bachelors,education_nohighschool,race_hispanic,race_white_nh,race_black_nh,race_asian_nh,race_other_nh,households_owneroccupied,households_renteroccupied,income_median,age_median,income_poverty_pct,education_bachelors_pct,education_nohighschool_pct,race_hispanic_pct,race_white_nh_pct,race_black_nh_pct,race_asian_nh_pct,race_other_nh_pct,households_owneroccupied_pct,households_renteroccupied_pct
dr5qu9,6108467.147447753,237.14876393710466,87.43451135647457,94.89420180950712,57.42226837101803,75.98475391693624,43.54377450491095,110.50750740887759,57.42226837101803,15.61330559937046,1.908292906589723,0.0,87.43451135647457,12114.0,67.8,0.4001463057790782,0.2421360643745428,0.32040965618141914,0.18361375274323335,0.46598390636430137,0.2421360643745428,0.06583760058522312,0.008046817849305048,0.0,1.0
dr5rx8,6096996.736765831,8584.858620654486,2606.9443293946674,814.9194991442556,1869.4122947387923,1231.7559699242731,4682.869042401921,1254.0948125051807,564.2443427529079,1379.900101795747,422.35458441500043,1394.8716037552635,1212.0727256394043,79552.54304495544,37.253187809183636,0.09492520903997466,0.21775691101553324,0.1434800530041073,0.5454800421681157,0.14608217420004196,0.06572552533309994,0.16073649698503098,0.04919761676666974,0.5350599888257502,0.46494001117425
dr7802,6089021.066466119,4255.355641833514,1476.1710798451766,235.91160604044447,974.9516184307746,495.77875560668133,713.894144714847,2038.9832762388676,43.74758279620603,1385.013414628806,19.236206054539483,812.0460556370188,664.1250242081579,80268.23706094892,43.491825674663076,0.05543875198614345,0.22911166550833698,0.11650700842317004,0.16776368529499686,0.4791569607470756,0.010280593792474752,0.3254753612161174,0.00452046965603353,0.5501029431644112,0.44989705683558884
dr5xf3,6092487.229179715,1820.2807249137156,605.2055450355816,165.58681902578823,580.9489849225725,198.33622224664884,207.97633901772895,378.77012654201445,161.16201001671433,976.8977145816345,44.95827841637069,410.6072181513779,194.59832688420371,90511.36086179553,45.34126692274001,0.09096773742612548,0.31915351130804864,0.10895913994587308,0.11425509053148238,0.20808335843910494,0.08853689862828915,0.5366742070116362,0.024698541165128134,0.6784591144604222,0.32154088553957777
dr5r4r,6101467.904055729,1920.1925382512698,756.1463232566966,355.17311901097474,429.200197684373,279.7540068578458,539.901351615593,405.4624672408882,753.4166404876291,110.22397621284259,26.661107798485165,125.369972963378,630.7763502933185,43783.73935979291,36.27074908255757,0.1849674508861663,0.22351935503053671,0.14569060200214057,0.2811704247675518,0.21115719343964598,0.3923651537432647,0.057402564595540086,0.013884601292517045,0.16580120686617078,0.834198793133829
dr5x0d,6103970.128839994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dr7813,6088524.809386271,268.7713686178562,93.9249405032255,8.102151417211147,102.72727784538083,24.106401130220817,39.21041179687369,113.33009328024973,4.301142110371349,104.82783562021334,2.6006905783640715,66.51766286969644,27.407277633529063,115547.0,47.4,0.030145143282471157,0.3822106438407145,0.08969110532192034,0.14588760699665052,0.4216598436918496,0.016002977298101972,0.3900260513583922,0.009676218831410495,0.7082002129925452,0.2917997870074548
dr5wbp,6105467.123920306,480.4432402129089,164.81027607303585,49.463354688586406,113.31973471688443,38.71926535049182,53.11229069020344,397.12586817598674,3.64893600161703,9.527777337555579,7.906028003503565,129.13179072389156,35.67848534914429,89306.0,43.5,0.1029535864978903,0.2358649789029536,0.08059071729957806,0.11054852320675107,0.8265822784810127,0.00759493670886076,0.019831223628691986,0.016455696202531647,0.7835178351783517,0.2164821648216482
dr5x2t,6098488.706821467,5678.712078572648,1563.2252275397213,576.8535003766507,727.8552565184019,760.7594478430611,842.2071846144447,110.841784766104,2608.559313278991,771.090628901839,736.1141437114619,1140.2741119864652,422.95111555325616,69530.73824210897,38.43121633077686,0.10158174818428962,0.12817259379372326,0.1339668990638946,0.14830954148781825,0.019518824556071564,0.4593575580494399,0.13578618148494925,0.12962695300031574,0.7294368667406188,0.2705631332593812
dr5xfh,6090985.260902479,2061.4390451380254,759.6234705044576,60.49460056559347,793.2649152449796,180.93231240442907,187.23021272653253,972.9886866206439,22.598893950281287,838.0049778407833,9.350739315377217,595.6352770119913,163.9881934924664,119163.42226108153,50.25899536786525,0.029345810980087945,0.384811240048995,0.08776990657626482,0.09082500555528013,0.4719948857646172,0.010962678718820987,0.40651455584740515,0.004536025131294207,0.784119106557406,0.21588089344259417
dr5x1j,6102473.629446063,0.05898371234264726,0.0,0.0,0.0,0.0,0.0,0.0,0.02949185617132363,0.0,0.0,0.0,0.0,1.0,67.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
dr5reu,6095002.976396831,8685.662710048473,3498.3905359153273,133.3257466206244,5219.2838956127725,115.21343355344062,581.7579495052081,6236.392016551345,172.4320003288036,1111.7205424754222,66.17755882712498,1224.2090083248406,2274.1815275904864,240607.16818582092,35.988676209020625,0.015350094871445948,0.6009079640606543,0.013264783287077198,0.06697910901285291,0.7180099233345132,0.01985248634273081,0.12799490143558867,0.007619172081200429,0.34993491885963374,0.6500650811403662
dr5wcn,6105964.113256791,4548.811460785903,1616.755419718565,1432.0618724450426,439.29101153789856,805.8083061168345,1357.3815433976092,127.07466610673191,2691.073529034943,115.92122975666484,94.55000357366845,181.66787558346996,1435.087544135095,38382.053996783616,32.66765340097757,0.3148211098196678,0.0965727015342161,0.17714700049968968,0.2984035621390852,0.027935795361537598,0.5915992676843114,0.025483850178445733,0.020785650139329568,0.11236571306196308,0.8876342869380369
