Parameter,count,mean,std,min,2.5%,25%,50%,75%,97.5%,max,r_hat
alpha0,7406.0,-0.8786190544272606,0.5994530830557412,-1.9323637889878744,-1.61826737555837,-1.275135278266868,-0.9756867274695776,-0.668704499976495,0.9161114619301465,4.246494453676244,1.2951133572340203
theta0,7406.0,-0.1769922305876568,0.14817328895775975,-0.7877955183123586,-0.6529668250187018,-0.2398595991014508,-0.144215368642619,-0.070597191987241,-0.0086203536720166,0.0494282046695433,1.3372967838760073
theta1,7406.0,0.16757274268508496,0.032354152799828576,0.0679217112289153,0.1047281921486856,0.1448479653567302,0.16759989229397115,0.1892921827566418,0.23239190611786473,0.2707211135609695,1.1610626702571878
