Parameter,count,mean,std,min,2.5%,25%,50%,75%,97.5%,max,r_hat
alpha0,60233.0,-1.0538137219049912,0.3869449697406729,-2.080210189711212,-1.6580329402791951,-1.319070896837005,-1.1061934319548197,-0.8514103018357126,-0.13488394071055312,1.5206370392626958,1.0362203280704745
alpha1,60233.0,0.29735275912737485,0.12495955491016471,-0.5165412330454441,0.06315762460060849,0.2137438397619644,0.2937790476425073,0.3769935779348631,0.5523619036076001,1.3682888102346782,1.0011159943640664
alpha2,60233.0,0.2541088530404759,0.18700585569750544,-0.5434492303486186,-0.10366184115481968,0.1281535926814281,0.2495036098321247,0.3752095189444446,0.6329233150511554,1.2806457876551756,1.0008097605448707
alpha3,60233.0,-0.5475618042300743,0.20967216431406077,-1.596894780086147,-0.9743147759825721,-0.6828581258630652,-0.542854506209417,-0.4062788444690494,-0.14891629938108225,0.3815948868361072,1.0018067719154833
alpha4,60233.0,0.4868757615563795,0.16337877422097485,-0.1009525331196457,0.1923591454301431,0.375876693994674,0.477856018096147,0.5863190171663998,0.8376776564870654,1.5642669495045058,1.0056546796218613
alpha5,60233.0,-0.13172214690371029,0.12709619237385933,-0.7534108919083189,-0.38377095213341794,-0.2147697659476716,-0.1315460872209333,-0.0488103326463786,0.11696026321105944,0.6970607248471635,1.0007624679027827
alpha6,60233.0,-0.2503351943702361,0.1483542807574653,-1.086214223457736,-0.5498600241754045,-0.3475044705573879,-0.2477462152316141,-0.1502596766424991,0.03216375056637908,0.443376586069249,1.000763404404179
theta0,60233.0,-0.16872251701722238,0.1079682641017331,-0.6726979744831239,-0.460633525058767,-0.2212117063431528,-0.1480091579016897,-0.0932048150420414,-0.020337523530094,0.0697057360697303,1.0433866745080078
theta1,60233.0,0.15434085168452913,0.028399773724052405,0.0344677338954827,0.09694456956214978,0.1356058942766354,0.154585279344272,0.1731053551791812,0.2096924796387269,0.2564786626132024,1.0191300896682136
