Parameter,count,mean,std,min,2.5%,25%,50%,75%,97.5%,max,r_hat
alpha0,60017.0,-1.5835911757875103,0.2732882563815059,-2.588378798225301,-2.104089361889446,-1.7673481308386856,-1.5898088178064689,-1.40867751381028,-1.0187457272938816,-0.1855956061583961,1.0203882963832795
alpha1,60017.0,0.4256892392283297,0.11397401092784812,-0.0576095144671463,0.20395347907067293,0.3492351585602034,0.4241549427423521,0.5006667182870489,0.6521745932542845,0.949937233023898,1.0003187878344746
alpha2,60017.0,0.1775962493882236,0.16828078233931396,-0.6306607026665161,-0.151872834213329,0.0640345673953937,0.1776928705297904,0.2902918182293804,0.5088806972655304,0.9150325311374524,1.0001492762994333
alpha3,60017.0,-0.3726499407906412,0.1817775927464246,-1.2356715926875297,-0.73348387246673,-0.4940508399483169,-0.3709789327298905,-0.2505764871494941,-0.020890568071724708,0.3904913944137747,1.000162844653226
alpha4,60017.0,0.24311376163678503,0.15178056679555,-0.4140337027137029,-0.04922609422488649,0.1420962298280468,0.2397507979757216,0.3408388714284273,0.5518081771219594,1.154135305977976,1.000591770046187
alpha5,60017.0,-0.3812790333905732,0.1504741244527233,-1.1777384163807567,-0.6942750057963964,-0.4784436721487675,-0.3733655442591346,-0.2766790333722747,-0.10860798976277428,0.1849067508767224,1.0031239696925895
alpha6,60017.0,-0.7581398900868417,0.15082478550073602,-1.5535821250930366,-1.0672300676839424,-0.8567681395184619,-0.7527788242523263,-0.6549659568016764,-0.4743851278971245,-0.0245506873614031,1.0016756733114067
theta0,60017.0,-0.06767266964621256,0.08369046464381183,-0.4204138336490927,-0.2562170961426157,-0.1134227257627114,-0.0611550934074036,-0.0182801235430609,0.0929265288181543,0.2922853839548128,1.0252862385011678
theta1,60017.0,0.1485881973422486,0.03266306575962496,0.0364238984764434,0.08311111813727794,0.1266551580707149,0.1492166215492942,0.1705289112003301,0.21116486905260265,0.2770563264711131,1.0028636556444246
