Parameter,count,mean,std,min,2.5%,25%,50%,75%,97.5%,max,r_hat
alpha0,7435.0,0.4535357385328177,1.2783052879422976,-1.505750184312424,-1.0119630479692072,-0.3730434504152384,0.1226425764541866,0.8873336144235366,3.817712354166629,11.22599267025007,1.1108972150402905
theta0,7435.0,-0.514533375964688,0.17367676567520127,-0.9454355611958428,-0.8470481242403243,-0.6413414575267117,-0.4946859080772117,-0.3833638234683356,-0.20886585129309937,-0.1058637126681132,1.1426200266387652
theta1,7435.0,0.14771693149578669,0.028290222426624347,0.0650957953127868,0.09289922319340606,0.1289527014738352,0.1471337319155654,0.166967546190805,0.2050614611436362,0.2488184500205615,1.036065619774919
