Parameter,count,mean,std,min,2.5%,25%,50%,75%,97.5%,max,r_hat
alpha0,7443.0,-0.8725919706103551,0.7743896388677792,-2.255083451659604,-1.8051783017743697,-1.4274391785139422,-1.0952680306733256,-0.46721165958574484,1.1035551587116061,5.904847589007436,1.167401426252826
theta0,7443.0,-0.2834524733815737,0.2178208252949893,-1.017322362702468,-0.7496970130861429,-0.4538900313208581,-0.2343607811270387,-0.1108251349255567,0.04144848827403569,0.1977010017916602,1.1842012469236185
theta1,7443.0,0.1224690718287154,0.031301276693804794,0.0083451512103125,0.06094222352227618,0.1011007989636766,0.1217342325761302,0.14351585668687067,0.1853768649383296,0.2245964550882347,1.0211019936128394
