T_train,T_test,population,population_poverty,population_white,population_black,population_hispanic,population_asian,population_age,population_nohighschool,population_renter,A_prob_trivial,A_prob_GP,T_prob_GP,T_prob_trivial,A_prob_multivariate,A_prob_CIwidth_multivariate,psi_multivariate,T_prob_multivariate,A_prob_homogeneous,A_prob_CIwidth_homogeneous,psi_homogeneous,T_prob_homogeneous
0.0,0.0,640.0241374016265,17.0,555.0,3.0,52.0,15.0,42.1,44.0,126.0,0.0,2.432588375998633e-129,2.432588375998633e-129,0.0,0.20963286625483402,0.02224742285429943,0.16988662415700367,0.035613819960390404,0.12279757901815735,0.017938263541790993,0.5672902512285729,0.06966186945147101
0.0,0.0,401.8240938485984,32.0,335.0,3.0,34.0,19.0,42.592119643228514,21.0,104.0,0.0,1.8308290043087726e-76,1.8308290043087726e-76,0.0,0.18964391542363518,0.021426093332868584,0.1476959394946211,0.02800963625793226,0.10464021519838601,0.016729528117302786,0.5672902512285729,0.059361373968504334
0.0,0.0,642.0774891866605,17.0,557.0,3.0,52.0,15.0,42.101193294024256,44.0,127.0,0.0,1.3834459090171462e-93,1.3834459090171462e-93,0.0,0.1564629266904391,0.019856074751064087,0.17027016368565417,0.026640968138317574,0.08634835238735711,0.015351574888538045,0.5672902512285729,0.04898457851899716
0.0,0.0,846.7713920952999,37.0,726.0,4.0,74.0,20.0,42.18883121878891,53.0,175.0,0.0,2.8552653184824913e-116,2.8552653184824913e-116,0.0,0.13277417842733497,0.018546352020843652,0.2058906569756886,0.027336962825811294,0.07747141896435777,0.014611548950537885,0.5672902512285729,0.04394878072732455
0.0,0.0,1152.7437997460202,66.0,978.0,7.0,108.0,27.0,42.26179701429804,67.0,247.0,0.0,3.05234118097662e-140,3.05234118097662e-140,0.0,0.164749803291313,0.02027478851084355,0.25133297038392366,0.041407057431372817,0.10598520511096166,0.01682405046334162,0.5672902512285729,0.06012437363390927
0.0,0.0,390.0947971013049,35.0,323.0,3.0,34.0,19.0,42.661914778353534,19.0,105.0,0.0,1.8309863824543688e-64,1.8309863824543688e-64,0.0,0.15987812431989018,0.02003093658177963,0.14852383093851831,0.023745711507254783,0.08634835238735711,0.015351574888538045,0.5672902512285729,0.04898457851899716
0.0,0.0,1249.5169447873284,76.0,1057.0,8.0,119.0,30.0,42.27966753157628,71.0,271.0,0.0,1.1213818603750517e-82,1.1213818603750517e-82,0.0,0.12031875177874879,0.01778135747844685,0.2642839958767891,0.03179832049899525,0.0702084734364492,0.013964427774180024,0.5672902512285729,0.03982858253413785
0.0,0.0,1382.0421838491184,89.0,1151.0,10.0,146.0,33.0,41.8719120135723,73.0,302.0,0.0,5.8574373842835594e-105,5.8574373842835594e-105,0.0,0.11293589807978838,0.017299322465082225,0.2813270795454283,0.031771926382627005,0.06778749159381303,0.013739402036285701,0.5672902512285729,0.03845518313640897
0.0,0.0,1230.117225507335,75.0,967.0,12.0,179.0,31.0,40.01464446653979,51.0,265.0,0.0,1.220576549468914e-128,1.220576549468914e-128,0.0,0.14235012472167813,0.01909719257225208,0.26601972288319836,0.03786794073084954,0.08809683927370543,0.015491380139740555,0.5672902512285729,0.049976478084023564
0.0,0.0,371.4570176244384,34.0,307.0,3.0,32.0,19.0,42.7,18.0,102.0,0.0,2.2584443466851078e-30,2.2584443466851078e-30,0.0,0.18783586961980814,0.02134748683298096,0.14586800675051356,0.02739924389769076,0.10437121721587089,0.016710520682874864,0.5672902512285729,0.05920877403542335
0.0,0.0,371.4569508567919,34.0,307.0,3.0,32.0,19.0,42.7,18.0,102.0,0.0,1.0349823090381829e-40,1.0349823090381829e-40,0.0,0.16113371168365898,0.020094405568599982,0.14586799132221642,0.02350425085758849,0.08150638870208471,0.014954416861555233,0.5672902512285729,0.04623777972353935
0.0,0.0,371.4568840881708,34.0,307.0,3.0,32.0,19.0,42.7,18.0,102.0,0.0,7.077345759185134e-55,7.077345759185134e-55,0.0,0.13617263489193576,0.018745368682306272,0.14586797589368627,0.019863226623796627,0.0707464694014795,0.014013773137548721,0.5672902512285729,0.04013378240029985
0.0,0.0,1220.2877712461363,80.0,1022.0,8.0,123.0,31.0,42.0966085106241,65.0,271.0,0.0,4.174457079983981e-73,4.174457079983981e-73,0.0,0.1160664959067852,0.017506479572091567,0.26428905660917346,0.03067510470713675,0.06859448554135844,0.013814958706240648,0.5672902512285729,0.038912982935651944
0.0,0.0,1190.574694847497,71.0,917.0,13.0,189.0,31.0,39.39864279409853,45.0,255.0,0.0,2.2658175104709314e-95,2.2658175104709314e-95,0.0,0.11713793045720122,0.01757643489307358,0.2620938855246924,0.03070113533584908,0.0722259583053127,0.014148270421671471,0.5672902512285729,0.04097308203224527
0.0,0.0,912.6349184382462,53.0,691.0,10.0,155.0,24.0,38.9,31.0,195.0,0.0,1.8035187912719116e-116,1.8035187912719116e-116,0.0,0.1716973867041669,0.020611611374980562,0.22724188396700265,0.03901683762686588,0.10168123739071955,0.016518523810530292,0.5672902512285729,0.05768277470461345
