T_train,T_test,population,population_poverty,population_white,population_black,population_hispanic,population_asian,population_age,population_nohighschool,population_renter,A_prob_trivial,A_prob_GP,T_prob_GP,T_prob_trivial,A_prob_multivariate,A_prob_CIwidth_multivariate,psi_multivariate,T_prob_multivariate,A_prob_homogeneous,A_prob_CIwidth_homogeneous,psi_homogeneous,T_prob_homogeneous
0.0,0.0,3932.0,250.0,1130.0,1928.0,481.0,198.0,39.7,319.0,2356.0,0.2,0.07789667715603817,0.07789667715603817,0.2,0.6083562286403538,0.020300483585811373,0.13286139428810356,0.08082705676100972,0.5232355698406321,0.020772192821350153,0.17192037993497095,0.0899548579624925
1.0,0.0,6275.0,483.0,3578.0,1443.0,539.0,477.0,41.2,627.0,1367.0,1.0,0.9999999999000024,0.9999999999000024,1.0,1.0,0.0,0.36174763718366026,0.36174763718366026,1.0,0.0,0.17192037993497095,0.17192037993497095
0.0,0.0,2957.0,150.0,835.0,1513.0,289.0,103.0,39.2,229.0,2207.0,0.2,0.4572178651762416,0.4572178651762416,0.2,0.6306707766534879,0.020071969216913153,0.05694869945070717,0.03591588051198355,0.527253247622874,0.020763745678109728,0.17192037993497095,0.0906455786532718
0.0,0.0,5647.0,604.0,1584.0,2651.0,679.0,309.0,36.2,571.0,5526.0,0.25,0.6079968112562105,0.6079968112562105,0.25,0.6259800308249012,0.0201237737852573,0.0689972309513584,0.043190888757764154,0.527253247622874,0.020763745678109728,0.17192037993497095,0.0906455786532718
0.0,0.0,7013.0,2675.0,1387.0,3760.0,1277.0,258.0,49.3,1049.0,6946.0,0.0,1.6246680569398883e-06,1.6246680569398883e-06,0.0,0.5725390337063593,0.020574655587746554,0.05862144352025312,0.03356306462755764,0.46497924199812507,0.02074358860897993,0.17192037993497095,0.07993940794619246
0.0,0.0,7282.0,1000.0,3933.0,294.0,1548.0,1107.0,36.7,232.0,5607.0,0.2,0.1307446641037618,0.1307446641037618,0.2,0.60567580245259,0.020324909376683884,0.11997676218230706,0.07266702171043238,0.5097093879737512,0.02079073759779126,0.17192037993497095,0.08762943163686882
0.0,0.0,6545.0,520.0,5623.0,41.0,320.0,340.0,50.1,60.0,1263.0,0.0,0.0026565322042622695,0.0026565322042622695,0.0,0.5038866179722576,0.0207940304351671,0.24442971640376637,0.12316486313061191,0.43832864604258737,0.020635873477785928,0.17192037993497095,0.07535762736402302
0.0,0.0,3911.0,48.0,3388.0,44.0,207.0,190.0,59.2,24.0,1021.0,0.0,0.004466231070209923,0.004466231070209923,0.0,0.5437076995242244,0.020715055629178556,0.1115689621281344,0.06066090373699327,0.4764965849738851,0.020771671602862418,0.17192037993497095,0.0819194739264265
0.0,0.0,6782.0,958.0,3511.0,241.0,1200.0,1478.0,34.3,461.0,5472.0,0.0,0.11245443520316922,0.11245443520316922,0.0,0.5651343563626616,0.020617461683101492,0.11424572296696027,0.06456418311612004,0.47301459756260883,0.02076435076016861,0.17192037993497095,0.08132084932775109
0.0,0.0,11882.0,1455.0,9155.0,184.0,937.0,1129.0,37.5,16.0,7337.0,0.0,1.6695854214831223e-05,1.6695854214831223e-05,0.0,0.5058299269583864,0.020793245096761188,0.24186041127102728,0.12234023416734902,0.43082898084906923,0.020594707881198427,0.17192037993497095,0.07406828207456831
0.0,0.0,7308.0,491.0,4646.0,357.0,730.0,1282.0,40.7,49.0,4354.0,0.0,0.03095757335373966,0.03095757335373966,0.0,0.5486497353079139,0.0206959911421805,0.16051891755141118,0.0880686616264946,0.46189902236507296,0.02073419621706669,0.17192037993497095,0.07940985541659498
